20230119	22:20:34	2cfc55db-4cc5-4c44-bcb0-f18f2ce19b24	GET	undefined	/new-page
20230119	22:20:56	cc3062a4-b558-4a71-bde7-e024b85779ea	GET	undefined	/new-page.html
20230119	22:20:56	1e9c60c2-b034-410f-95f4-363ef1efde51	GET	undefined	/img/img1.jpg
20230119	22:20:56	8679ad56-c5f5-4d42-af7c-ef5cd0c627ab	GET	undefined	/css/style.css
20230119	23:42:24	851e40fe-69d9-413d-9715-aad7824f4f48	GET	undefined	/employees
20230119	23:42:37	cbc6922b-3ce4-4260-8f19-8e555fad8475	GET	undefined	/data/employees
20230119	23:42:49	9c0ebd23-88ba-47c5-add1-1e48129b787a	GET	undefined	/data/employees.json
20230119	23:44:01	8f9f5efa-a767-4426-83a5-44f16ed6364b	GET	undefined	/data
20230119	23:45:03	d6416e75-80f3-4e4f-ae4e-7f3aeacc0abf	GET	undefined	/
20230119	23:45:03	e3b33b8a-c0f5-4ae0-8592-f506c41358fe	GET	undefined	/css/style.css
20230119	23:45:20	e31c3e8b-454c-439c-932e-01c950c25c12	GET	undefined	/employees
20230119	23:45:21	dc741ce3-7f2b-4389-8dd3-ee3ad2eaedab	GET	undefined	/css/style.css
20230119	23:45:31	d196a29a-6050-40f4-91c6-89defdb1db92	GET	undefined	/data/employees
20230119	23:45:31	7367c68a-8fdb-478d-bedf-123557a5f5f8	GET	undefined	/data/css/style.css
20230119	23:47:00	aec61d10-4534-4347-a23f-3a531ddd642a	GET	undefined	/employees
20230119	23:47:48	034d8b1b-287b-407f-a86f-2a9b853d7cf7	GET	undefined	/employees
20230119	23:47:48	518f9434-19b1-47d8-893a-9e6ab8e24d15	GET	undefined	/css/style.css
20230119	23:49:01	08599368-75df-4843-804b-92bf7456d143	GET	undefined	/employees
20230119	23:49:02	4396b1a8-3df0-4a06-aefc-dc739aa8a967	GET	undefined	/employees
20230119	23:49:03	f0b90d86-b799-48d0-b53a-4d5a2733eb90	GET	undefined	/employees
20230119	23:49:03	a2f41b4f-5a65-4c5b-a79d-7bf4f05f5ead	GET	undefined	/employees
20230119	23:49:03	1d908932-41cc-4583-b1a1-a44e0998eddc	GET	undefined	/employees
20230119	23:49:05	a24631eb-85ac-43c2-a408-48135011eb48	GET	undefined	/employees
20230119	23:49:05	edd914b1-8485-4dc6-8625-da1179e9bb81	GET	undefined	/employees
20230119	23:49:06	7a1a2e58-81ea-4533-ae30-4c6f7e80b851	GET	undefined	/employees
20230119	23:49:06	b242ce45-7e78-4c42-86dd-98b0e6081f63	GET	undefined	/employees
20230119	23:49:06	9c868573-2fa1-4303-8bdf-3842faf16925	GET	undefined	/employees
20230119	23:49:06	e46d8674-74e1-4176-9a4c-55eff88a154e	GET	undefined	/employees
20230119	23:49:07	c8ff01c6-ef78-4d7c-9fa8-b4f4c41de1ca	GET	undefined	/employees
20230119	23:49:07	0349e950-d6f0-4f98-a28b-13832389c39a	GET	undefined	/employees
20230119	23:49:07	9a9e4603-8d69-409e-b056-340f9ada29b5	GET	undefined	/employees
20230119	23:49:07	626a7779-e552-4cd2-b057-ca70db43214c	GET	undefined	/employees
